
15:37:50 | Pipe | clients  4 | logs       50,232 | watches        502 | flows        251 | payload     48.8 MiB
15:37:51 | Pipe | clients  4 | logs       50,979 | watches        509 | flows        254 | payload     49.5 MiB
15:37:52 | Pipe | clients  4 | logs       51,727 | watches        517 | flows        258 | payload     50.3 MiB
15:37:53 | Pipe | clients  4 | logs       52,479 | watches        524 | flows        262 | payload     51.0 MiB
15:37:54 | Pipe | clients  4 | logs       53,227 | watches        532 | flows        266 | payload     51.7 MiB
15:37:55 | Pipe | clients  4 | logs       53,971 | watches        539 | flows        269 | payload     52.4 MiB
15:37:56 | Pipe | clients  4 | logs       54,728 | watches        547 | flows        273 | payload     53.2 MiB
15:37:57 | Pipe | clients  4 | logs       55,476 | watches        554 | flows        277 | payload     53.9 MiB
15:37:58 | Pipe | clients  4 | logs       56,224 | watches        562 | flows        281 | payload     54.6 MiB
15:37:59 | Pipe | clients  4 | logs       56,971 | watches        569 | flows        284 | payload     55.4 MiB
15:38:00 | Pipe | clients  4 | logs       57,722 | watches        577 | flows        288 | payload     56.1 MiB
15:38:01 | Pipe | clients  4 | logs       58,477 | watches        584 | flows        292 | payload     56.8 MiB
15:38:02 | Pipe | clients  4 | logs       59,221 | watches        592 | flows        296 | payload     57.6 MiB
15:38:03 | Pipe | clients  4 | logs       59,976 | watches        599 | flows        299 | payload     58.3 MiB
15:38:04 | Pipe | clients  4 | logs       60,723 | watches        607 | flows        303 | payload     59.0 MiB
15:38:05 | Pipe | clients  4 | logs       61,480 | watches        614 | flows        307 | payload     59.7 MiB
15:38:06 | Pipe | clients  4 | logs       62,223 | watches        622 | flows        311 | payload     60.5 MiB
15:38:07 | Pipe | clients  4 | logs       62,977 | watches        629 | flows        314 | payload     61.2 MiB
15:38:08 | Pipe | clients  4 | logs       63,723 | watches        637 | flows        318 | payload     61.9 MiB
15:38:09 | Pipe | clients  4 | logs       64,470 | watches        644 | flows        322 | payload     62.7 MiB
15:38:10 | Pipe | clients  4 | logs       65,223 | watches        652 | flows        326 | payload     63.4 MiB
15:38:11 | Pipe | clients  4 | logs       65,969 | watches        659 | flows        329 | payload     64.1 MiB
15:38:12 | Pipe | clients  4 | logs       66,725 | watches        667 | flows        333 | payload     64.8 MiB
15:38:13 | Pipe | clients  4 | logs       67,471 | watches        674 | flows        337 | payload     65.6 MiB
15:38:14 | Pipe | clients  4 | logs       68,227 | watches        682 | flows        341 | payload     66.3 MiB
15:38:15 | Pipe | clients  4 | logs       68,976 | watches        689 | flows        344 | payload     67.0 MiB
15:38:16 | Pipe | clients  4 | logs       69,719 | watches        697 | flows        348 | payload     67.8 MiB
15:38:17 | Pipe | clients  4 | logs       70,473 | watches        704 | flows        352 | payload     68.5 MiB
