
13:37:14 | Tcp  | clients  8 | logs      475,998 | watches      4,757 | flows      2,376 | payload    462.6 MiB
13:37:15 | Tcp  | clients  8 | logs      484,263 | watches      4,840 | flows      2,416 | payload    470.6 MiB
13:37:16 | Tcp  | clients  8 | logs      491,781 | watches      4,912 | flows      2,456 | payload    477.9 MiB
13:37:17 | Tcp  | clients  8 | logs      500,350 | watches      5,000 | flows      2,496 | payload    486.2 MiB
13:37:18 | Tcp  | clients  8 | logs      507,955 | watches      5,074 | flows      2,536 | payload    493.6 MiB
13:37:19 | Tcp  | clients  8 | logs      516,039 | watches      5,158 | flows      2,576 | payload    501.5 MiB
13:37:20 | Tcp  | clients  8 | logs      524,104 | watches      5,239 | flows      2,616 | payload    509.3 MiB
13:37:21 | Tcp  | clients  8 | logs      531,973 | watches      5,315 | flows      2,656 | payload    517.0 MiB
13:37:22 | Tcp  | clients  8 | logs      539,196 | watches      5,389 | flows      2,693 | payload    524.0 MiB
13:37:23 | Tcp  | clients  8 | logs      548,246 | watches      5,480 | flows      2,736 | payload    532.8 MiB
13:37:24 | Tcp  | clients  8 | logs      556,305 | watches      5,560 | flows      2,776 | payload    540.6 MiB
13:37:25 | Tcp  | clients  8 | logs      564,042 | watches      5,638 | flows      2,816 | payload    548.1 MiB
13:37:26 | Tcp  | clients  8 | logs      571,761 | watches      5,712 | flows      2,856 | payload    555.6 MiB
13:37:27 | Tcp  | clients  8 | logs      580,012 | watches      5,797 | flows      2,896 | payload    563.7 MiB
13:37:28 | Tcp  | clients  8 | logs      586,772 | watches      5,864 | flows      2,928 | payload    570.2 MiB
13:37:29 | Tcp  | clients  8 | logs      596,128 | watches      5,959 | flows      2,976 | payload    579.3 MiB
13:37:30 | Tcp  | clients  8 | logs      603,943 | watches      6,034 | flows      3,016 | payload    586.9 MiB
13:37:31 | Tcp  | clients  8 | logs      611,620 | watches      6,112 | flows      3,056 | payload    594.4 MiB
13:37:32 | Tcp  | clients  8 | logs      620,123 | watches      6,200 | flows      3,096 | payload    602.6 MiB
13:37:33 | Tcp  | clients  8 | logs      628,199 | watches      6,280 | flows      3,136 | payload    610.5 MiB
13:37:34 | Tcp  | clients  8 | logs      636,044 | watches      6,358 | flows      3,176 | payload    618.1 MiB
13:37:35 | Tcp  | clients  8 | logs      644,282 | watches      6,440 | flows      3,216 | payload    626.1 MiB
13:37:36 | Tcp  | clients  8 | logs      649,208 | watches      6,488 | flows      3,240 | payload    630.9 MiB
13:37:37 | Tcp  | clients  8 | logs      660,082 | watches      6,599 | flows      3,296 | payload    641.5 MiB
13:37:38 | Tcp  | clients  8 | logs      668,302 | watches      6,680 | flows      3,336 | payload    649.5 MiB
13:37:39 | Tcp  | clients  8 | logs      675,770 | watches      6,752 | flows      3,376 | payload    656.7 MiB
13:37:40 | Tcp  | clients  8 | logs      681,857 | watches      6,816 | flows      3,408 | payload    662.6 MiB
